signature,body,docstring,is_single_expression,is_test,0-20,100+,20-50,50-100
fun test4(collection: Collection<A<*>>),id(newA() in collection) id(newA<Int>() in collection),"Processes elements in the given collection by creating new instances of type A and checks if they exist in the collection. Parameter 'collection' is a collection of generic type A.""",False,True,False,False,True,False
fun markFiles(files: Iterable<File>),"markFilesImpl(files, currentRound = false) { it.exists() }","Marks files as processed if they exist using a helper implementation. Parameter 'files' is an iterable of File objects.""",False,False,False,False,True,False
fun main(),val c: A = A.ENTRY val c2: String? = c.ENTRY val c3: String? = A.ANOTHER.ENTRY,"Initializes constants from entries of class A and prints them.""",False,False,True,False,False,False
fun TargetId(module: Module),"TargetId(module.getModuleName(), module.getModuleType())","Generates a target identifier using module name and type. Parameter 'module' is an instance of Module containing metadata.""",False,False,False,False,True,False
fun process(declaration: FirDeclaration),processSingle(declaration) while (queue.isNotEmpty()) { processSingle(queue.removeFirst()) },"Processes a declaration and iterates through a queue to process each item. Parameter 'declaration' is an instance of FirDeclaration.""",False,False,False,False,True,False
fun test2(),var x: MutableList<Int>? = mutableListOf(1) x!! x[if (true) { x = null; 0 } else 0] = 11 <!UNSAFE_CALL!>x[0]<!>.inv(),"Tests mutable list operations with nullability checks and conditional access.""",False,True,True,False,False,False
fun foo(),"val lst = listOf<List<*>>(listOf(""A""), listOf(42), emptyList()) <expr>lst[0]</expr>","Creates a list of lists with different element types and accesses the first element.""",False,False,True,False,False,False
fun <T>plus(elements: Collection<T>),var index = size val result = copyOfUninitializedElements(index + elements.size) for (element in elements) result[index++] = element return result,"Adds elements to a collection and returns the result. The 'elements' parameter is a collection of type T.""",False,False,False,False,True,False
fun createArgument(@NonNls text: String),"= createCallArguments(""($text)"").arguments.first()!!","Creates a function call argument from the provided text. Parameter 'text' is a string representing the argument.""",True,False,False,False,True,False
fun <T: PsiElement>findChildByType(i: Int),if (i == 42) JetOperationReferenceExpression() as T else throw Exception(),"Finds a child element by type based on a condition. Parameter 'i' is an integer that determines the type to be returned.""",False,False,False,False,True,False
"fun check(condition: Boolean, message: String)","if (!condition) { throw IllegalArgumentException(""Invalid pattern '$pattern' - $message"") }","Checks a condition and throws an exception with a message if the condition is false. Parameters are 'condition' (a Boolean) and 'message' (a String describing the failure).""",False,False,False,False,False,True
